name;url_image;degree;university;university_country;research_papers
Julio Gutierrez Alva;https://cris.utec.edu.pe/files-asset/19170374/gutierrez_alva_julio.jpg?w=160&f=jpg;Maestría;Leland Stanford Junior University;USA;1
Yuri Herrera;https://www.ecured.cu/images/thumb/9/9c/Herrera_yuri5bd1f05bb2f7e_500w.jpg/400px-Herrera_yuri5bd1f05bb2f7e_500w.jpg;Doctorado;Universidad de California, Berkeley;USA;17
Oscar Hidalgo Wuest;https://cris.utec.edu.pe/files-asset/19170394/hidalgo_wuest_oscar.jpg?w=160&f=jpg;Maestría;Pontificia Universidad Católica del Perú;Peru;0
Deyby Huamanchahua Canchanya;https://www1.utec.edu.pe/sites/default/files/pictures/picture-1184-1678376772.png;Ph.D.;Tec de Monterrey;Mexico;5
Dante Inga Narvaez;https://cris.utec.edu.pe/files-asset/19170535/inga_narvaez_dante.jpg?w=160&f=jpg;Doctorado;Universidade Estadual de Campinas (UNICAMP), Brasil;Brazil;5
Elvis Omar Jara Alegria;https://dina.concytec.gob.pe/appDirectorioCTI/UploadFotoPath.do?tipo=visualizar_archivo&id_investigador=90828&ruta=/documents/docInvestigadores/90828/imagenes/ELVIS-JARA.jpeg&content_type=image/jpeg;Ph.D.;Universidade Estadual de Campinas - UNICAMP;Brazil;52
Cristian Lopez Del Alamo;https://cris.utec.edu.pe/files-asset/19170865/lopez_delalamo_cristian.jpg?w=160&f=jpg;Ph.D.;Universidad Nacional de San Agustín;Peru;5
Milagros Cecilia Lunga Calderón;https://www1.utec.edu.pe/sites/default/files/pictures/picture-1180-1677259785.png;No encontrado;No encontrado;No encontrado;0
José Luis Mantari;https://i0.wp.com/eciperu.net/wp-content/uploads/2018/08/mantari.png?fit=741%2C706&ssl=1;Doctorado;Universidad Técnica de Lisboa;Portugal;7
Diego Alejandro Milanés Carreño;https://cris.utec.edu.pe/files-asset/25685589/milanes-carrenio-diego-alejandro.jpg?w=160&f=jpg;Ph.D.;Universitat de València;Spain;5
Rensso Victor Hugo Mora Colque;https://cris.utec.edu.pe/files-asset/25783575/mora-colque-rensso-victor-hugo_.jpg?w=160&f=jpg;Ph.D.;Universidade Federal de Minas Gerais;Brazil;5
Monica Cristina Moreno Brush;https://ctivitae.concytec.gob.pe/appDirectorioCTI/UploadFotoPath.do?tipo=visualizar_archivo&id_investigador=206920&ruta=/documents/docInvestigadores/206920/imagenes/Monica-foto.jpg&content_type=image/jpeg;Doctorado;Albert-Ludwigs-Universität Freiburg im Breisgau;Germany;3
Angel Napa Bernuy;https://cris.utec.edu.pe/files-asset/21850417/napa_bernuy_angel.jpg?w=160&f=jpg;Maestría;Instituto de Matemática Pura e Aplicada (IMPA);Brazil;0
Julien Noel;https://www1.utec.edu.pe/sites/default/files/styles/noticias_slider/public/noticias/sin_titulo-1a_0.jpg;Ph.D.;Florida International University;USA;0
Moisés Nuñez Ochoa;https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=m6eXsJsAAAAJ&citpid=1;No encontrado;Universidad de Ingeniería y Tecnología - UTEC, Lima, Perú;Peru;20
Maria Belen Ortiz Garcia;https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=GhuQslsAAAAJ&citpid=1;Ph.D.;University of Alberta;Canada;4
Hermes Yesser Pantoja Carhuavilca;https://www1.utec.edu.pe/sites/default/files/pictures/picture-12-1419632283.jpg;Doctorado;Universidad Nacional de Educación;Peru;5
Alexander Peña Nevado;https://www1.utec.edu.pe/sites/default/files/pictures/picture-13-1621030927.png;Bachiller;Universidad Nacional de Ingeniería;Peru;0
Sergio Quispe Rodriguez;https://cris.utec.edu.pe/files-asset/19171327/quispe_rodriguez_sergio.jpg?w=160&f=jpg;Maestría;Universidade Estadual de Campinas [UNICAMP];Brazil;4
Oscar Ramos Ponce;https://cris.utec.edu.pe/files-asset/21816239/ramos_ponce_oscar.jpg?w=160&f=jpg;Doctorado;Universidad de Toulouse III;France;8
RAMOS SARAVIA JOSE CESAR;https://dina.concytec.gob.pe/appDirectorioCTI/UploadFotoPath.do?tipo=visualizar_archivo&id_investigador=21298&ruta=/documents/docInvestigadores/21298/imagenes/Foto_Jose%20Enero2014.jpg&content_type=image/jpeg;Doctorado;Universidad de Zaragoza;Spain;11
Alejandra Ratti Parandelli;https://www1.utec.edu.pe/sites/default/files/pictures/picture-506-1482535683.jpg;Ph.D.;Universidad Estatal De Arkansas;USA;2
Jose Renom Andara;https://cris.utec.edu.pe/files-asset/21816332/renom_andara_jose.jpg?w=160&f=jpg;Doctorado;Universidad Simón Bolivar;Venezuela;7
Juan Carlos Rodríguez Reyes;https://www1.utec.edu.pe/sites/default/files/pictures/picture-57-1419632637.jpg;Doctorado;University of Delaware;USA;5
Harry Gustavo Saavedra Espinoza;https://cris.utec.edu.pe/files-asset/19171593/saavedra_espinoza_harry_gustavo.jpg?w=160&f=jpg;Doctorado;Johns Hopkins University;USA;5
HEIDER YSAIAS SANCHEZ ENRIQUEZ;https://s3.amazonaws.com/files.pucp.edu.pe/profesor/img-docentes/foto-profesor.gif;Doctorado;UNIVERSIDAD DE CHILE;Chile;0
Yamilet Serrano Llerena;https://lh4.googleusercontent.com/6XvtwvP6D0bRT6pvOQyn1pAPwSYNa0BcXm6Lr_MhUA9kPiCSBFr8g5w4ndF9-F42lCCULbEo1OrnnHCC29Z7EWHxIW4iC2Gn2JdhMJXnsddcmh4MU8AP8XPd5UdG4_N0DA=w1280;Doctorado;Universidad Nacional de Singapur;Singapore;0
IGOR ALEJANDRO SIVERONI SALINAS;https://ctivitae.concytec.gob.pe/appDirectorioCTI/UploadFotoPath.do?tipo=visualizar_archivo&id_investigador=333296&ruta=/documents/docInvestigadores/333296/imagenes/siveroniFotoCity.jpeg&content_type=image/jpeg;Ph.D.;Northeastern University;USA;17
Aurea Rossy Soriano Vargas;https://cris.utec.edu.pe/files-asset/26454982/soriano-vargas-aurea-rossy.jpg?w=160&f=jpg;Ph.D.;Universidade de São Paulo;Brazil;5
Enrique Stiglich Labarthe;https://cris.utec.edu.pe/files-asset/23816640/Dise_o_sin_t_tulo_49_.png?w=160&f=jpg;Maestría;Northwestern University;USA;0
Matteo Stiglich Labarthe;https://cris.utec.edu.pe/files-asset/24097563/stiglich-labarthe-matteo.jpg?w=160&f=jpg;Doctorado;Columbia University;USA;4
Francisco Tarazona Vásquez;https://www1.utec.edu.pe/sites/default/files/pictures/picture-266-1430232643.jpg;Ph.D.;Universidad Texas A&M (EEUU);USA;5
Jorge Tipe Villanueva;https://www1.utec.edu.pe/sites/default/files/pictures/picture-1163-1665503460.png;Maestría;Instituto de Física y Tecnología de Moscú, Rusia;Russia;0
David Wilfredo Torres Escobar;https://cris.utec.edu.pe/files-asset/25754099/torres-escobar-david-wilfredo.jpg?w=160&f=jpg;Maestría;University of California, Santa Cruz;USA;0
Julio Ernesto Valdivia Silva;https://cris.utec.edu.pe/files-asset/19171765/valdivia_silva_julio.jpg?w=160&f=jpg;Doctorado;Universidad Nacional Autónoma de México;Mexico;10
Elba Rosaura Vásquez Arrieta;https://cris.utec.edu.pe/files-asset/24148806/vazques-arrieta-rosaura.jpg?w=160&f=jpg;Doctorado;Universidad de Oviedo;Spain;0
Emir Augusto Vela Saavedra;https://cris.utec.edu.pe/files-asset/19171783/vela_saavedra_emir_augusto.jpg?w=160&f=jpg;Doctorado;Sorbonne Université;France;10
Eunice Villicaña;https://www1.utec.edu.pe/sites/default/files/pictures/picture-375-1654198481.png;Doctorado;Universidad de Oviedo;Spain;0
Romina Perla Yalonetzky Mankevich;https://cris.utec.edu.pe/files-asset/21816575/yalonetzky_mankevich_romina_perla_.jpg?w=160&f=jpg;Doctorado;Pontificia Universidad Católica del Perú;Peru;2
Katia Zegarra Sierra;https://cris.utec.edu.pe/files-asset/19171861/zegarra_sierra_katia.jpg?w=160&f=jpg;Maestría;Pontificia Universidad Católica del Perú;Peru;3
Carlos Marcelo Zorrilla Aranguren;https://cris.utec.edu.pe/files-asset/19489162/zorrilla_aranguren_carlos.jpg?w=160&f=jpg;Maestría;Eseune Business School;Spain;1
Ruth Canahuire Cabello;https://www1.utec.edu.pe/sites/default/files/pictures/picture-245-1426256570.jpg;Doctorado;Universidade Estadual de Campinas, UNICAMP (Brasil);Brazil;3
Elena Flores Barreda;https://cris.utec.edu.pe/files-asset/19170139/flores_barreda_carmen_elena.jpg?w=160&f=jpg;Maestría;Pontificia Universidad Católica del Perú;Peru;10
Daniel Vicente Horna Muñoz;https://cris.utec.edu.pe/files-asset/19170477/horna_munoz_daniel.jpg?w=160&f=jpg;Doctorado;University of Iowa;USA;5
Giancarlo Flores;https://i1.rgstatic.net/ii/profile.image/875848664109057-1585830002479_Q128/Giancarlo-Flores.jpg;Ph.D.;Université de Kyoto;Japan;5
Elmer Ramírez Quiroz;https://www1.utec.edu.pe/sites/default/files/pictures/picture-15-1419632343.jpg;Doctorado;Universidad Nacional Mayor de San Marcos;Peru;9
Jimmy Fernando Tarrillo Olano;https://dina.concytec.gob.pe/appDirectorioCTI/UploadFotoPath.do?tipo=visualizar_archivo&id_investigador=36182&ruta=/documents/docInvestigadores/36182/imagenes/72e7e53e894a4408b9_l_30a72.jpg&content_type=image/jpeg;Ph.D.;Universidade Federal do Rio Grande do Sul;Brazil;29
Akira Armando Wong Sato;https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Wt7gHCoAAAAJ&citpid=1;Doctorado;Kyoto University;Japan;20
Rocío Hoyos Díaz;https://www1.utec.edu.pe/sites/default/files/pictures/picture-657-1621026800.png;Maestría;Universidad San Martín de Porres;Peru;1
Wangdo Kim;https://i1.rgstatic.net/ii/profile.image/1125952285351936-1645459352792_Q128/Wangdo-Kim.jpg;Ph.D.;Lehigh University;USA;1
Pedro Rau Lavado;https://cris.utec.edu.pe/files-asset/19171498/rau_lavado_pedro.jpg?w=160&f=jpg;Doctorado;Université Toulouse III - Paul Sabatier;France;6
